##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	10_2G_both_S8_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	81477069
Total Bases	8.2 Gbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1103	14-15	-0.27580731452264473
1103	16-17	-0.21287530525341225
1103	18-19	-0.21543975412505034
1103	20-21	-0.1643393260561652
1103	22-23	-0.23268696335119188
1103	24-25	-0.1878463313920875
1103	26-27	-0.22442322248134872
1103	28-29	-0.22119041462186573
1103	30-31	-0.2833764599194595
1103	32-33	-0.15001474560947514
1103	34-35	-0.2761790177693655
1103	36-37	-0.30110337175178614
1103	38-39	-0.5033518255341249
1103	40-41	-0.49840094735818496
1103	42-43	-0.43593248953867203
1103	44-45	-0.2776301171741551
1103	46-47	-0.2613192456141107
1103	48-49	-0.2097509917252367
1103	50-51	-0.16367776538793777
1103	52-53	-0.24014298490211416
1103	54-55	-0.1304896008919556
1103	56-57	-0.3175306714452333
1103	58-59	-0.2823957662419261
1103	60-61	-0.1263044894928882
1103	62-63	-0.20658000549185118
1103	64-65	-0.20836294885465634
1103	66-67	-0.1270551506949289
1103	68-69	-0.19742248537298224
1103	70-71	-0.25247193442344695
1103	72-73	-0.202118296349461
1103	74-75	-0.30085854456625327
1103	76-77	-0.32176254251658776
1103	78-79	-0.18420677658308904
1103	80-81	-0.2874563525981202
1103	82-83	-0.2757369481693175
1103	84-85	-0.2670489513652541
1103	86-87	-0.306845012367539
1103	88-89	-0.41363376802643614
1103	90-91	-0.4530025077419495
1103	92-93	-0.35990356432244397
1103	94-95	-0.3772130729723031
1103	96-97	-0.43120613167904764
1103	98-99	-0.3577521376000945
1103	100-101	-0.5379533646518198
1104	1	-0.5071361257120799
1104	2	-0.6382005318948814
1104	3	-1.4299253751980672
1104	4	-1.2331148207892255
1104	5	-1.110441486888817
1104	6	-1.5090989245589554
1104	7	-1.3725465730415607
1104	8	-1.5072785314995656
1104	9	-1.1828705097272234
1104	10-11	-0.7864503109040157
1104	12-13	-0.33583711253418613
1104	14-15	-0.22672828689862
1104	16-17	-0.18310539136927417
1104	18-19	-0.17233453987784486
1104	20-21	-0.16681136403759922
1104	22-23	-0.15607735072852336
1104	24-25	-0.04687827481987483
1104	26-27	-0.12069609554599481
1104	28-29	-0.17277053989961644
1104	30-31	-0.13756096938470108
1104	32-33	0.005859578167907387
1104	34-35	-0.1857231239281134
1104	36-37	-0.2315614369430179
1104	38-39	-0.40324144757743596
1104	40-41	-0.38907829843033426
1104	42-43	-0.32445625690640156
1104	44-45	-0.15866153503094438
1104	46-47	-0.08152071042840703
1104	48-49	-0.02827976490369366
1104	50-51	-0.08436938564505425
1104	52-53	-0.11280668160998175
1104	54-55	0.03261947322246783
1104	56-57	-0.16944690395688866
1104	58-59	-0.17730603135025547
1104	60-61	-0.09166270634303686
1104	62-63	-0.1562714838076289
1104	64-65	-0.20128889455021692
